date,ticker,open,high,low,close
2016-04-07,INDIA VIX,17.34,17.42,16.33,16.93
2016-04-08,INDIA VIX,16.93,16.93,15.19,16.43
2016-04-11,INDIA VIX,16.43,16.79,14.88,16.01
2016-04-12,INDIA VIX,16.01,16.3,14.65,16.02
2016-04-13,INDIA VIX,16.02,16.12,13.55,16.03
2016-04-18,INDIA VIX,16.03,17.41,14.14,16.94
2016-04-20,INDIA VIX,16.94,17.52,15.43,17.07
2016-04-21,INDIA VIX,17.07,17.07,15.63,16.51
2016-04-22,INDIA VIX,16.51,16.85,15.33,16.38
2016-04-25,INDIA VIX,16.38,17.03,16.12,16.57
2016-04-26,INDIA VIX,16.57,16.81,15.64,16.58
2016-04-27,INDIA VIX,16.58,16.79,16.22,16.35
2016-04-28,INDIA VIX,16.35,16.77,15.3,16.59
2016-04-29,INDIA VIX,16.59,17.24,15.63,16.53
2016-05-02,INDIA VIX,16.53,17.65,16.53,17.09
2016-05-03,INDIA VIX,17.09,18.08,15.6,17.46
2016-05-04,INDIA VIX,17.46,17.78,16.26,17.44
2016-05-05,INDIA VIX,17.44,17.48,15.72,17.17
2016-05-06,INDIA VIX,17.17,17.5,16.05,16.94
2016-05-09,INDIA VIX,16.94,16.94,15.21,16.61
2016-05-10,INDIA VIX,16.61,17.18,15.02,16.41
2016-05-11,INDIA VIX,16.41,17.46,15.53,16.96
2016-05-12,INDIA VIX,16.96,17.16,15.96,16.32
2016-05-13,INDIA VIX,16.32,17.36,14.19,16.99
2016-05-16,INDIA VIX,16.99,17.77,16.16,17.03
2016-05-17,INDIA VIX,17.03,17.03,15.73,16.37
2016-05-18,INDIA VIX,16.37,16.97,15.99,16.45
2016-05-19,INDIA VIX,16.45,17.41,15.41,17.06
2016-05-20,INDIA VIX,17.06,17.06,14.98,16.42
2016-05-23,INDIA VIX,16.42,16.55,15.18,16.16
2016-05-24,INDIA VIX,16.16,16.88,15.68,16.22
2016-05-25,INDIA VIX,16.22,16.22,14.54,15.52
2016-05-26,INDIA VIX,15.52,15.52,14.46,15.32
2016-05-27,INDIA VIX,15.32,15.85,14.93,15.26
2016-05-30,INDIA VIX,15.26,16.44,14.77,15.97
2016-05-31,INDIA VIX,15.97,16.36,14.3,16.04
2016-06-01,INDIA VIX,16.04,16.09,14.72,15.83
2016-06-02,INDIA VIX,15.83,15.93,14.96,15.08
2016-06-03,INDIA VIX,15.08,15.39,14.04,14.99
2016-06-06,INDIA VIX,14.99,15.53,14.11,15.35
2016-06-07,INDIA VIX,15.35,15.35,14.4,14.87
2016-06-08,INDIA VIX,14.87,15.28,13.31,15.14
2016-06-09,INDIA VIX,15.14,15.83,13.97,15.67
2016-06-10,INDIA VIX,15.67,16.27,14.55,15.97
2016-06-13,INDIA VIX,15.97,17.07,15.65,16.58
2016-06-14,INDIA VIX,16.58,17.53,14.91,17.19
2016-06-15,INDIA VIX,17.19,17.63,15.42,17.05
2016-06-16,INDIA VIX,17.05,18.46,15.77,17.69
2016-06-17,INDIA VIX,17.69,17.89,16.04,17.35
2016-06-20,INDIA VIX,17.35,18.45,16.29,17.51
2016-06-21,INDIA VIX,17.51,17.7,16.39,17.26
2016-06-22,INDIA VIX,17.26,18.31,16.22,18.18
2016-06-23,INDIA VIX,18.18,18.82,16.99,18.02
2016-06-24,INDIA VIX,18.02,21.05,16.15,18.62
2016-06-27,INDIA VIX,18.62,19.73,18.38,18.53
2016-06-28,INDIA VIX,18.53,18.81,17.44,17.72
2016-06-29,INDIA VIX,17.72,17.72,15.9,16.15
2016-06-30,INDIA VIX,16.15,16.41,14.65,16.29
2016-07-01,INDIA VIX,16.29,16.35,15.65,15.73
2016-07-04,INDIA VIX,15.73,15.96,15.15,15.57
2016-07-05,INDIA VIX,15.57,15.7,14.83,15.36
2016-07-07,INDIA VIX,15.36,15.58,14.28,15.3
2016-07-08,INDIA VIX,15.3,15.8,13.91,15.08
2016-07-11,INDIA VIX,15.08,15.08,13.75,14.84
2016-07-12,INDIA VIX,14.84,15.03,13.81,14.78
2016-07-13,INDIA VIX,14.78,15.4,13.86,15.32
2016-07-14,INDIA VIX,15.32,15.92,14.16,15.61
2016-07-15,INDIA VIX,15.61,16.32,13.92,15.63
