"date","ticker","name","exchange","open","high","low","close","volume","last_updated"
2012-11-20,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,7777.5,7822.35,7685.85,7713.8,0,2025-10-15 10:50:53.899
2012-11-20,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3494.95,3514.35,3441.8,3454.8,0,2025-10-15 10:53:52.910
2012-11-20,NIFTY 50,NIFTY 50,NSE,5604.8,5613.7,5548.35,5571.55,0,2025-10-15 10:50:43.804
2012-11-21,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,7714.65,7763.95,7683.85,7756.6,0,2025-10-15 10:50:53.899
2012-11-21,NIFTY 50,NIFTY 50,NSE,5582.5,5620.2,5561.4,5614.8,0,2025-10-15 10:50:43.804
2012-11-21,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3459.6,3474.7,3440.3,3470.3,0,2025-10-15 10:53:52.910
2012-11-22,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3476.3,3498.35,3472.25,3482.7,0,2025-10-15 10:53:52.910
2012-11-22,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,7757.25,7820.1,7750.45,7785.4,0,2025-10-15 10:50:53.899
2012-11-22,NIFTY 50,NIFTY 50,NSE,5628.6,5643.35,5608.0,5627.75,0,2025-10-15 10:50:43.804
2012-11-23,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3485.3,3501.0,3482.1,3492.0,0,2025-10-15 10:53:52.910
2012-11-23,NIFTY 50,NIFTY 50,NSE,5635.45,5637.75,5593.55,5626.6,0,2025-10-15 10:50:43.804
2012-11-23,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,7785.25,7825.25,7763.55,7787.2,0,2025-10-15 10:50:53.899
2012-11-26,NIFTY 50,NIFTY 50,NSE,5648.65,5649.2,5623.45,5635.9,0,2025-10-15 10:50:43.804
2012-11-26,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,7787.75,7864.3,7787.75,7853.5,0,2025-10-15 10:50:53.899
2012-11-26,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3508.35,3549.75,3507.0,3536.0,0,2025-10-15 10:53:52.910
2012-11-27,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,7853.9,7963.6,7853.9,7947.7,0,2025-10-15 10:50:53.899
2012-11-27,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3538.9,3578.3,3538.9,3567.2,0,2025-10-15 10:53:52.910
2012-11-27,NIFTY 50,NIFTY 50,NSE,5658.5,5733.2,5658.0,5727.45,0,2025-10-15 10:50:43.804
2012-11-29,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3575.75,3612.3,3575.75,3605.4,0,2025-10-15 10:53:52.910
2012-11-29,NIFTY 50,NIFTY 50,NSE,5736.7,5833.5,5736.1,5825.0,0,2025-10-15 10:50:43.804
2012-11-29,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,7949.0,8054.65,7949.0,8040.1,0,2025-10-15 10:50:53.899
2012-11-30,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3617.25,3650.95,3617.25,3638.6,0,2025-10-15 10:53:52.910
2012-11-30,NIFTY 50,NIFTY 50,NSE,5836.0,5885.25,5827.85,5879.85,0,2025-10-15 10:50:43.804
2012-11-30,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,8042.6,8157.95,8042.6,8139.8,0,2025-10-15 10:50:53.899
2012-12-03,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3640.4,3680.95,3640.4,3677.8,0,2025-10-15 10:53:52.910
2012-12-03,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,8141.3,8234.9,8141.3,8228.6,0,2025-10-15 10:50:53.899
2012-12-03,NIFTY 50,NIFTY 50,NSE,5878.25,5899.15,5854.6,5870.95,0,2025-10-15 10:50:43.804
2012-12-04,NIFTY 50,NIFTY 50,NSE,5866.8,5894.95,5859.0,5889.25,0,2025-10-15 10:50:43.804
2012-12-04,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3682.85,3711.05,3667.85,3678.7,0,2025-10-15 10:53:52.910
2012-12-04,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,8229.35,8308.04,8225.29,8290.9,0,2025-10-15 10:50:53.899
2012-12-05,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,8291.6,8351.79,8291.6,8305.1,0,2025-10-15 10:50:53.899
2012-12-05,NIFTY 50,NIFTY 50,NSE,5906.6,5917.8,5891.35,5900.5,0,2025-10-15 10:50:43.804
2012-12-05,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3686.2,3710.05,3686.2,3690.0,0,2025-10-15 10:53:52.910
2012-12-06,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,8306.79,8382.15,8276.6,8378.1,0,2025-10-15 10:50:53.899
2012-12-06,NIFTY 50,NIFTY 50,NSE,5926.3,5942.55,5838.9,5930.9,0,2025-10-15 10:50:43.804
2012-12-06,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3698.65,3723.05,3688.4,3719.6,0,2025-10-15 10:53:52.910
2012-12-07,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,8378.79,8443.6,8349.25,8376.29,0,2025-10-15 10:50:53.899
2012-12-07,NIFTY 50,NIFTY 50,NSE,5934.0,5949.85,5888.65,5907.4,0,2025-10-15 10:50:43.804
2012-12-07,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3727.1,3768.9,3715.9,3728.3,0,2025-10-15 10:53:52.910
2012-12-10,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,8377.5,8443.29,8377.5,8436.2,0,2025-10-15 10:50:53.899
2012-12-10,NIFTY 50,NIFTY 50,NSE,5916.05,5919.95,5888.1,5908.9,0,2025-10-15 10:50:43.804
2012-12-10,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3737.6,3752.1,3734.9,3742.9,0,2025-10-15 10:53:52.910
2012-12-11,NIFTY 50,NIFTY 50,NSE,5923.8,5965.15,5865.45,5898.8,0,2025-10-15 10:50:43.804
2012-12-11,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3749.65,3773.2,3674.75,3699.5,0,2025-10-15 10:53:52.910
2012-12-11,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,8437.5,8496.45,8297.4,8360.2,0,2025-10-15 10:50:53.899
2012-12-12,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3705.35,3719.05,3693.9,3700.6,0,2025-10-15 10:53:52.910
2012-12-12,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,8361.1,8403.65,8332.45,8370.7,0,2025-10-15 10:50:53.899
2012-12-12,NIFTY 50,NIFTY 50,NSE,5917.8,5924.6,5874.25,5888.0,0,2025-10-15 10:50:43.804
2012-12-13,NIFTY 50,NIFTY 50,NSE,5900.35,5907.45,5841.35,5851.5,0,2025-10-15 10:50:43.804
2012-12-13,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3707.6,3721.35,3647.7,3653.4,0,2025-10-15 10:53:52.910
2012-12-13,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,8371.1,8437.95,8281.4,8293.0,0,2025-10-15 10:50:53.899
2012-12-14,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,8293.79,8368.04,8282.79,8361.7,0,2025-10-15 10:50:53.899
2012-12-14,NIFTY 50,NIFTY 50,NSE,5846.9,5886.1,5839.15,5879.6,0,2025-10-15 10:50:43.804
2012-12-14,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3658.3,3675.85,3649.6,3667.5,0,2025-10-15 10:53:52.910
2012-12-17,NIFTY 50,NIFTY 50,NSE,5860.5,5886.05,5850.15,5857.9,0,2025-10-15 10:50:43.804
2012-12-17,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3674.2,3700.75,3670.7,3690.5,0,2025-10-15 10:53:52.910
2012-12-17,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,8362.1,8404.15,8361.75,8382.7,0,2025-10-15 10:50:53.899
2012-12-18,NIFTY 50,NIFTY 50,NSE,5873.6,5905.8,5823.15,5896.8,0,2025-10-15 10:50:43.804
2012-12-18,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,8383.45,8432.79,8324.25,8426.7,0,2025-10-15 10:50:53.899
2012-12-18,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3699.55,3726.75,3666.5,3723.3,0,2025-10-15 10:53:52.910
2012-12-19,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,8429.6,8490.54,8429.6,8480.7,0,2025-10-15 10:50:53.899
